classification,trades,unique_accounts,unique_symbols,net_pnl,avg_pnl,median_pnl,std_pnl,win_rate,avg_size_tokens,avg_size_usd
Extreme Fear,2326,20,75,4399.936551,1.8916322231298366,0.0,76.72771255395584,0.2927773000859845,2460.043834173775,4118.761840068787
Extreme Greed,5621,22,85,1156893.675576,205.81634505888633,0.96048,1861.5571189594953,0.5532823341042519,16407.31031807082,3242.085086283579
Fear,13869,28,110,1779225.582654,128.28795029591174,0.0,1342.3484968403718,0.381786718581008,3219.8652062277433,5744.782685125099
Greed,11292,29,129,609632.532636,53.988003244420824,0.0,1399.4681820543474,0.4357066950053135,14956.263148433929,5051.878829259653
Neutral,2756,16,63,74656.74198,27.08880333091437,0.0,142.94588861346116,0.4949201741654572,17720.854907689874,4332.202906386067
